Opportunity ID,Opportunity Name,Store Address,Store City,Store State,Store Zip,DD Deep Link
0063i000007At5Q,REEF Kitchens - Arlington (WAS03),1415 N Danville St,Arlington,VA,22201,https://doordash.com/store/1127250/?utm_campaign=1127250&utm_medium=website&utm_source=partner-link
0063i000007BoKz,Di Pescara - Northbrook (IL),2124 Northbrook Ct,Northbrook,IL,60062,https://www.doordash.com/store/1137254/?utm_source=partner-link&utm_medium=website&utm_campaign=1137254
0063i000007BjRL,"SushiYAA - Pacific Ave, Dallas (TX)",1700 Pacific Ave c111,Dallas,TX,75201,https://www.doordash.com/store/wow-bao-dallas-1129541/en-US?utm_campaign=1129541&utm_medium=website&utm_source=partner-link
0063i000005bOKN,REEF Kitchens - Los Angeles (LAX02),1200 W. Olympic Blvd,Los Angeles,CA,90015,https://doordash.com/store/1127270/?utm_campaign=1127270&utm_medium=website&utm_source=partner-link
0063i000009EDs9,KUSSHI SUSHI - Bethesda (MD),11826 Trade St N.,Bethesda,MD,20852,https://www.doordash.com/store/1559958/?utm_source=partner-link&utm_medium=website&utm_campaign=1559958
0063i000009EEYV,Sizzler - Fountain Valley (CA),9480 Warner Ave,Fountain Valley,CA,92708,https://www.doordash.com/en-CA/store/wow-bao-fountain-valley-1465731
0063i000009CPjq,Sizzler - Torrance (CA),17544 Hawthorne Blvd,Torrance,CA,90504,https://www.doordash.com/store/1301583/?utm_source=partner-link&utm_medium=website&utm_campaign=1301583
0063i000007CWdy,REEF Kitchens - Baltimore (BAL04),7 S Eden St,Baltimore,MD,21231,https://doordash.com/store/1223290/?utm_campaign=1223290&utm_medium=website&utm_source=partner-link
0063i000007BDuK,Ruby Tuesday - Prince William Pkwy (VA),12721 Marblestone Drive,Woodbridge,VA,22192,https://www.doordash.com/store/wow-bao-woodbridge-1085917/
0063i000007Cgli,JOES LLC dba Sizzler - Tacoma (WA),10204 S. Tacoma Way,Tacoma,WA,98499,https://www.doordash.com/en-CA/store/wow-bao-lakewood-1209439
0063i000007BDuF,Ruby Tuesday - Inglewood (MD),9680 Lottsford CT,Upper Marlboro,MD,20774,https://www.doordash.com/store/wow-bao-upper-marlboro-1085893/
0063i000007D96i,"Fazoli's - Avon, IN",7930 E US-36,Avon,IN,46123,https://www.doordash.com/store/wow-bao-avon-1256254/en-US
0063i000009CuWS,Sizzler - Auburn (CA),13570 Lincoln Way,Auburn,CA,95603,https://www.doordash.com/store/1333276/?utm_source=partner-link&utm_medium=website&utm_campaign=1333276
0063i000007Cm52,Harvest Kitchen - Upper West Side (NY),269 Columbus Ave,New York,NY,10023,https://www.doordash.com/store/1207961/?utm_source=partner-link&utm_medium=website&utm_campaign=1207961
0063i000009Caec,REEF Kitchens - Chicago (CHI10),246 N California Ave.,Chicago,IL,60612,https://doordash.com/store/1322386/?utm_campaign=1322386&utm_medium=website&utm_source=partner-link
0063i000007D97V,"Fazoli's - Moraine, OH",5230 Cobblegate Dr,Moraine,OH,45439,https://www.doordash.com/store/wow-bao-moraine-1256187/1818455/en-US/?preview=1
0063i000007D97f,"Fazoli's - Huber Heights, OH",8341 Old Troy Pike,Huber Heights,OH,45424,https://www.doordash.com/store/wow-bao-huber-heights-1256266/1818456/en-US/?preview=1
