"Opportunity Name","Store Address","Store City","Store State","Store Zip","Opportunity ID","DD Deep Link","Cheeseburger Bao","Coconut Bao","Egg & Sausage Bao","IMPOSSIBLE Bao","Bundles"
"Burrito Gallery - Beach","300 Beach Blvd Suite#1","Jacksonville","FL","32250","0063i00000CB9uh","https://www.doordash.com/store/1748039/?utm_source=partner-link&utm_medium=website&utm_campaign= \ 1748039","Yes","","","","Yes"
"Chipper's Estes Park Lanes - Estes Park (CO)","555 S St Vrain","Estes Park","CO","80517","0063i000009DQ0t","https://www.doordash.com/en-CA/store/wow-bao---east-ray-rd--estes-park-1461859/?utm_campaign=1461859&utm_medium=website&utm_source=partner-link","Yes","","","","Yes"
"Pizza Carrello - Gillette (WY)","601 S Douglas Hwy","Gillette","WY","82716","0063i000009Cz8P","https://www.doordash.com/en-CA/store/1528773/?utm_source=partner-link&utm_medium=website&utm_campaign=1528773","No","","","","Yes"
"Sweet Onion Catering","11929 124th Avenue NE","Kirkland","WA","98034","0063i000009FGSU","https://www.doordash.com/en-CA/store/1559971/?utm_source=partner-link&utm_medium=website&utm_campaign=1559971","Yes","Yes","No","No","Yes"
"The Vanguard - South Harrison (NJ)","705 Frank E. Rodgers Blvd S","South Harrison","NJ","07029","0063i000009CDwY","https://www.doordash.com/store/1369306/?utm_source=partner-link&utm_medium=website&utm_campaign=1369306","No","No","No","No","No"
